tool,execution_id,project,caller_class,callee_class,type,covered_lines,total_lines,line_coverage_perc,killed_mutants,total_mutants,mutation_coverage_perc
randoop,1,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,sub/super,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,sub/super,45,87,52,25,212,12
randoop-caller5,1,mockito,org.mockito.cglib.transform.impl.FieldProviderTransformer,org.mockito.cglib.core.ClassEmitter,sub/super,38,87,44,22,212,10
cling,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,sub/super,27,101,27,24,328,7
evosuite-callee5,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,sub/super,57,101,56,120,328,37
evosuite-caller5,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,sub/super,57,101,56,120,328,37
randoop,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,sub/super,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,sub/super,0,106,0,0,328,0
randoop-caller5,1,mockito,org.mockito.asm.util.ASMifierClassVisitor,org.mockito.asm.util.ASMifierAbstractVisitor,sub/super,38,106,36,36,328,11
cling,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,sub/super,25,90,28,10,188,5
evosuite-callee5,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,sub/super,24,90,27,2,188,1
evosuite-caller5,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,sub/super,24,90,27,2,188,1
randoop,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,sub/super,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,sub/super,28,95,29,3,188,2
randoop-caller5,1,mockito,org.mockito.cglib.core.ClassEmitter,org.mockito.cglib.transform.impl.InterceptFieldTransformer,sub/super,0,95,0,0,188,0
cling,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,call,130,420,31,0,745,0
evosuite-callee5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,call,412,420,98,221,745,30
evosuite-caller5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,call,414,420,99,220,745,30
randoop,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,call,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,call,20,437,5,0,745,0
randoop-caller5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.CodeEmitter,call,0,437,0,0,745,0
cling,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,call,61,200,31,96,518,19
evosuite-callee5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,call,159,200,80,214,518,41
evosuite-caller5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,call,54,200,27,9,518,2
randoop,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,call,177,202,88,297,518,57
randoop-callee5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,call,130,202,64,183,518,35
randoop-caller5,1,mockito,org.mockito.cglib.proxy.Enhancer,org.mockito.cglib.core.ReflectUtils,call,0,202,0,0,518,0
cling,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,call,293,351,83,479,883,54
evosuite-callee5,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,call,346,351,99,537,883,61
evosuite-caller5,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,call,39,351,11,21,883,2
randoop,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,call,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,call,272,353,77,620,883,70
randoop-caller5,1,mockito,org.mockito.asm.AnnotationWriter,org.mockito.asm.ClassWriter,call,0,,0,0,,0
cling,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ByteVector,call,88,113,78,92,300,31
evosuite-callee5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ByteVector,call,0,113,0,0,300,0
evosuite-caller5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ByteVector,call,71,113,63,82,300,27
randoop,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ByteVector,call,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ByteVector,call,71,113,63,62,300,21
randoop-caller5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ByteVector,call,0,,0,0,,0
cling,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ClassWriter,call,104,351,30,91,883,10
evosuite-callee5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ClassWriter,call,346,351,99,537,883,61
evosuite-caller5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ClassWriter,call,347,351,99,537,883,61
randoop,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ClassWriter,call,286,353,81,595,883,67
randoop-callee5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ClassWriter,call,272,353,77,620,883,70
randoop-caller5,1,mockito,org.mockito.asm.MethodWriter,org.mockito.asm.ClassWriter,call,0,,0,0,,0
cling,1,mockito,org.mockito.cglib.core.AbstractClassGenerator,org.mockito.cglib.core.ReflectUtils,call,0,200,0,0,518,0
evosuite-callee5,1,mockito,org.mockito.cglib.core.AbstractClassGenerator,org.mockito.cglib.core.ReflectUtils,call,159,200,80,214,518,41
evosuite-caller5,1,mockito,org.mockito.cglib.core.AbstractClassGenerator,org.mockito.cglib.core.ReflectUtils,call,162,200,81,224,518,43
randoop,1,mockito,org.mockito.cglib.core.AbstractClassGenerator,org.mockito.cglib.core.ReflectUtils,call,163,202,81,225,518,43
randoop-callee5,1,mockito,org.mockito.cglib.core.AbstractClassGenerator,org.mockito.cglib.core.ReflectUtils,call,130,202,64,183,518,35
randoop-caller5,1,mockito,org.mockito.cglib.core.AbstractClassGenerator,org.mockito.cglib.core.ReflectUtils,call,0,,0,0,,0
cling,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.ClassEmitter,call,3,77,4,1,212,0
evosuite-callee5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.ClassEmitter,call,77,77,100,119,212,56
evosuite-caller5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.ClassEmitter,call,77,77,100,129,212,61
randoop,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.ClassEmitter,call,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.ClassEmitter,call,45,87,52,25,212,12
randoop-caller5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.ClassEmitter,call,0,87,0,0,212,0
cling,1,mockito,org.mockito.cglib.core.EmitUtils,org.mockito.cglib.core.CodeEmitter,call,101,420,24,49,745,7
evosuite-callee5,1,mockito,org.mockito.cglib.core.EmitUtils,org.mockito.cglib.core.CodeEmitter,call,412,420,98,221,745,30
evosuite-caller5,1,mockito,org.mockito.cglib.core.EmitUtils,org.mockito.cglib.core.CodeEmitter,call,412,420,98,220,745,30
randoop,1,mockito,org.mockito.cglib.core.EmitUtils,org.mockito.cglib.core.CodeEmitter,call,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.cglib.core.EmitUtils,org.mockito.cglib.core.CodeEmitter,call,20,437,5,0,745,0
randoop-caller5,1,mockito,org.mockito.cglib.core.EmitUtils,org.mockito.cglib.core.CodeEmitter,call,0,437,0,0,745,0
cling,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.TypeUtils,call,62,207,30,135,725,19
evosuite-callee5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.TypeUtils,call,205,207,99,657,725,91
evosuite-caller5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.TypeUtils,call,205,207,99,676,725,93
randoop,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.TypeUtils,call,0,190,0,0,509,0
randoop-callee5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.TypeUtils,call,168,207,81,497,725,69
randoop-caller5,1,mockito,org.mockito.cglib.core.CodeEmitter,org.mockito.cglib.core.TypeUtils,call,45,207,22,0,725,0
cling,1,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.ReflectUtils,call,79,200,40,156,518,30
evosuite-callee5,1,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.ReflectUtils,call,159,200,80,214,518,41
evosuite-caller5,1,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.ReflectUtils,call,162,200,81,218,518,42
randoop,1,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.ReflectUtils,call,176,202,87,297,518,57
randoop-callee5,1,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.ReflectUtils,call,130,202,64,183,518,35
randoop-caller5,1,mockito,org.mockito.cglib.proxy.Mixin$Generator,org.mockito.cglib.core.ReflectUtils,call,76,202,38,65,518,13
cling,1,mockito,org.mockito.cglib.transform.impl.AddDelegateTransformer,org.mockito.cglib.core.ReflectUtils,call,0,200,0,0,518,0
evosuite-callee5,1,mockito,org.mockito.cglib.transform.impl.AddDelegateTransformer,org.mockito.cglib.core.ReflectUtils,call,159,200,80,214,518,41
evosuite-caller5,1,mockito,org.mockito.cglib.transform.impl.AddDelegateTransformer,org.mockito.cglib.core.ReflectUtils,call,159,200,80,214,518,41
randoop,1,mockito,org.mockito.cglib.transform.impl.AddDelegateTransformer,org.mockito.cglib.core.ReflectUtils,call,151,202,75,213,518,41
randoop-callee5,1,mockito,org.mockito.cglib.transform.impl.AddDelegateTransformer,org.mockito.cglib.core.ReflectUtils,call,130,202,64,183,518,35
randoop-caller5,1,mockito,org.mockito.cglib.transform.impl.AddDelegateTransformer,org.mockito.cglib.core.ReflectUtils,call,0,202,0,0,518,0
cling,1,math,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction.FractionFormat,sub/super,56,86,65,80,171,47
evosuite-callee5,1,math,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction.FractionFormat,sub/super,83,86,97,143,171,84
evosuite-caller5,1,math,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction.FractionFormat,sub/super,83,86,97,145,171,85
randoop,1,math,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction.FractionFormat,sub/super,0,190,0,0,509,0
randoop-callee5,1,math,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction.FractionFormat,sub/super,78,86,91,140,171,82
randoop-caller5,1,math,org.apache.commons.math.fraction.ProperFractionFormat,org.apache.commons.math.fraction.FractionFormat,sub/super,79,86,92,141,171,82
cling,1,math,org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,org.apache.commons.math.stat.descriptive.moment.Variance,sub/super,61,67,91,62,150,41
evosuite-callee5,1,math,org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,org.apache.commons.math.stat.descriptive.moment.Variance,sub/super,67,67,100,84,150,56
evosuite-caller5,1,math,org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,org.apache.commons.math.stat.descriptive.moment.Variance,sub/super,67,67,100,84,150,56
randoop,1,math,org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,org.apache.commons.math.stat.descriptive.moment.Variance,sub/super,67,67,100,128,150,85
randoop-callee5,1,math,org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,org.apache.commons.math.stat.descriptive.moment.Variance,sub/super,67,67,100,125,150,83
randoop-caller5,1,math,org.apache.commons.math.stat.descriptive.AbstractStorelessUnivariateStatistic,org.apache.commons.math.stat.descriptive.moment.Variance,sub/super,0,,0,0,,0
cling,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.DormandPrince853Integrator,sub/super,13,24,54,27,115,23
evosuite-callee5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.DormandPrince853Integrator,sub/super,24,24,100,29,115,25
evosuite-caller5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.DormandPrince853Integrator,sub/super,24,24,100,45,115,39
randoop,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.DormandPrince853Integrator,sub/super,9,24,38,5,115,4
randoop-callee5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.DormandPrince853Integrator,sub/super,9,24,38,5,115,4
randoop-caller5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.DormandPrince853Integrator,sub/super,0,,0,0,,0
cling,1,math,org.apache.commons.math.analysis.MullerSolver,org.apache.commons.math.analysis.UnivariateRealSolverImpl,sub/super,43,60,72,98,159,62
evosuite-callee5,1,math,org.apache.commons.math.analysis.MullerSolver,org.apache.commons.math.analysis.UnivariateRealSolverImpl,sub/super,0,60,0,0,159,0
evosuite-caller5,1,math,org.apache.commons.math.analysis.MullerSolver,org.apache.commons.math.analysis.UnivariateRealSolverImpl,sub/super,34,60,57,42,159,26
randoop,1,math,org.apache.commons.math.analysis.MullerSolver,org.apache.commons.math.analysis.UnivariateRealSolverImpl,sub/super,4,60,7,3,159,2
randoop-callee5,1,math,org.apache.commons.math.analysis.MullerSolver,org.apache.commons.math.analysis.UnivariateRealSolverImpl,sub/super,0,,0,0,,0
randoop-caller5,1,math,org.apache.commons.math.analysis.MullerSolver,org.apache.commons.math.analysis.UnivariateRealSolverImpl,sub/super,4,60,7,3,159,2
cling,1,math,org.apache.commons.math.distribution.AbstractIntegerDistribution,org.apache.commons.math.distribution.HypergeometricDistributionImpl,sub/super,41,63,65,51,150,34
evosuite-callee5,1,math,org.apache.commons.math.distribution.AbstractIntegerDistribution,org.apache.commons.math.distribution.HypergeometricDistributionImpl,sub/super,63,63,100,127,150,85
evosuite-caller5,1,math,org.apache.commons.math.distribution.AbstractIntegerDistribution,org.apache.commons.math.distribution.HypergeometricDistributionImpl,sub/super,63,63,100,127,150,85
randoop,1,math,org.apache.commons.math.distribution.AbstractIntegerDistribution,org.apache.commons.math.distribution.HypergeometricDistributionImpl,sub/super,63,63,100,150,150,100
randoop-callee5,1,math,org.apache.commons.math.distribution.AbstractIntegerDistribution,org.apache.commons.math.distribution.HypergeometricDistributionImpl,sub/super,63,63,100,142,150,95
randoop-caller5,1,math,org.apache.commons.math.distribution.AbstractIntegerDistribution,org.apache.commons.math.distribution.HypergeometricDistributionImpl,sub/super,0,,0,0,,0
cling,1,math,org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator,org.apache.commons.math.ode.AbstractStepInterpolator,sub/super,69,91,76,45,131,34
evosuite-callee5,1,math,org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator,org.apache.commons.math.ode.AbstractStepInterpolator,sub/super,77,91,85,38,131,29
evosuite-caller5,1,math,org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator,org.apache.commons.math.ode.AbstractStepInterpolator,sub/super,68,91,75,29,131,22
randoop,1,math,org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator,org.apache.commons.math.ode.AbstractStepInterpolator,sub/super,0,190,0,0,509,0
randoop-callee5,1,math,org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator,org.apache.commons.math.ode.AbstractStepInterpolator,sub/super,0,,0,0,,0
randoop-caller5,1,math,org.apache.commons.math.ode.GraggBulirschStoerStepInterpolator,org.apache.commons.math.ode.AbstractStepInterpolator,sub/super,0,,0,0,,0
cling,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.HighamHall54Integrator,sub/super,10,20,50,15,50,30
evosuite-callee5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.HighamHall54Integrator,sub/super,20,20,100,26,50,52
evosuite-caller5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.HighamHall54Integrator,sub/super,20,20,100,26,50,52
randoop,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.HighamHall54Integrator,sub/super,10,20,50,5,50,10
randoop-callee5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.HighamHall54Integrator,sub/super,10,20,50,5,50,10
randoop-caller5,1,math,org.apache.commons.math.ode.EmbeddedRungeKuttaIntegrator,org.apache.commons.math.ode.HighamHall54Integrator,sub/super,0,,0,0,,0
cling,1,math,org.apache.commons.math.ode.GraggBulirschStoerIntegrator,org.apache.commons.math.ode.AdaptiveStepsizeIntegrator,sub/super,82,91,90,85,278,31
evosuite-callee5,1,math,org.apache.commons.math.ode.GraggBulirschStoerIntegrator,org.apache.commons.math.ode.AdaptiveStepsizeIntegrator,sub/super,89,91,98,101,278,36
evosuite-caller5,1,math,org.apache.commons.math.ode.GraggBulirschStoerIntegrator,org.apache.commons.math.ode.AdaptiveStepsizeIntegrator,sub/super,89,91,98,103,278,37
randoop,1,math,org.apache.commons.math.ode.GraggBulirschStoerIntegrator,org.apache.commons.math.ode.AdaptiveStepsizeIntegrator,sub/super,56,91,62,41,278,15
randoop-callee5,1,math,org.apache.commons.math.ode.GraggBulirschStoerIntegrator,org.apache.commons.math.ode.AdaptiveStepsizeIntegrator,sub/super,0,,0,0,,0
randoop-caller5,1,math,org.apache.commons.math.ode.GraggBulirschStoerIntegrator,org.apache.commons.math.ode.AdaptiveStepsizeIntegrator,sub/super,56,91,62,40,278,14
cling,1,math,org.apache.commons.math.ode.AbstractStepInterpolator,org.apache.commons.math.ode.DormandPrince853StepInterpolator,sub/super,74,91,81,73,398,18
evosuite-callee5,1,math,org.apache.commons.math.ode.AbstractStepInterpolator,org.apache.commons.math.ode.DormandPrince853StepInterpolator,sub/super,76,91,84,56,398,14
evosuite-caller5,1,math,org.apache.commons.math.ode.AbstractStepInterpolator,org.apache.commons.math.ode.DormandPrince853StepInterpolator,sub/super,76,91,84,56,398,14
randoop,1,math,org.apache.commons.math.ode.AbstractStepInterpolator,org.apache.commons.math.ode.DormandPrince853StepInterpolator,sub/super,0,190,0,0,509,0
randoop-callee5,1,math,org.apache.commons.math.ode.AbstractStepInterpolator,org.apache.commons.math.ode.DormandPrince853StepInterpolator,sub/super,0,,0,0,,0
randoop-caller5,1,math,org.apache.commons.math.ode.AbstractStepInterpolator,org.apache.commons.math.ode.DormandPrince853StepInterpolator,sub/super,0,,0,0,,0
cling,1,math,org.apache.commons.math.optimization.NelderMead,org.apache.commons.math.optimization.DirectSearchOptimizer,sub/super,100,112,89,115,223,52
evosuite-callee5,1,math,org.apache.commons.math.optimization.NelderMead,org.apache.commons.math.optimization.DirectSearchOptimizer,sub/super,0,112,0,0,223,0
evosuite-caller5,1,math,org.apache.commons.math.optimization.NelderMead,org.apache.commons.math.optimization.DirectSearchOptimizer,sub/super,54,112,48,54,223,24
randoop,1,math,org.apache.commons.math.optimization.NelderMead,org.apache.commons.math.optimization.DirectSearchOptimizer,sub/super,87,112,78,59,223,26
randoop-callee5,1,math,org.apache.commons.math.optimization.NelderMead,org.apache.commons.math.optimization.DirectSearchOptimizer,sub/super,0,112,0,0,223,0
randoop-caller5,1,math,org.apache.commons.math.optimization.NelderMead,org.apache.commons.math.optimization.DirectSearchOptimizer,sub/super,87,112,78,59,223,26
cling,1,math,org.apache.commons.math.analysis.LaguerreSolver,org.apache.commons.math.complex.Complex,call,103,128,80,334,635,53
evosuite-callee5,1,math,org.apache.commons.math.analysis.LaguerreSolver,org.apache.commons.math.complex.Complex,call,118,128,92,400,635,63
evosuite-caller5,1,math,org.apache.commons.math.analysis.LaguerreSolver,org.apache.commons.math.complex.Complex,call,119,128,93,427,635,67
randoop,1,math,org.apache.commons.math.analysis.LaguerreSolver,org.apache.commons.math.complex.Complex,call,125,128,98,545,635,86
randoop-callee5,1,math,org.apache.commons.math.analysis.LaguerreSolver,org.apache.commons.math.complex.Complex,call,121,128,95,441,635,69
randoop-caller5,1,math,org.apache.commons.math.analysis.LaguerreSolver,org.apache.commons.math.complex.Complex,call,0,128,0,0,635,0
cling,1,math,org.apache.commons.math.ode.SwitchState,org.apache.commons.math.analysis.BrentSolver,call,48,83,58,13,283,5
evosuite-callee5,1,math,org.apache.commons.math.ode.SwitchState,org.apache.commons.math.analysis.BrentSolver,call,83,83,100,139,283,49
