BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.experimental.MemberVariableMutator,<init>,156,KILLED,RegressionTest10.test02040(RegressionTest10)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,compareTo,339,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,compareTo,341,KILLED,RegressionTest35.test07178(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,compareTo,330,KILLED,RegressionTest18.test03637(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,compareTo,335,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,compareTo,338,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,330,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,330,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,331,KILLED,RegressionTest18.test03706(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,331,KILLED,RegressionTest18.test03637(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,331,KILLED,RegressionTest18.test03637(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,331,KILLED,RegressionTest18.test03706(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,331,KILLED,RegressionTest18.test03637(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,331,KILLED,RegressionTest18.test03706(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,333,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,compareTo,334,KILLED,RegressionTest35.test07068(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,compareTo,336,NO_COVERAGE,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,compareTo,339,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,compareTo,330,KILLED,RegressionTest18.test03637(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,compareTo,330,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,compareTo,335,KILLED,RegressionTest35.test07068(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_ELSE,compareTo,338,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,compareTo,335,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_ORDER_IF,compareTo,338,KILLED,RegressionTest35.test07178(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,compareTo,336,NO_COVERAGE,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,compareTo,339,KILLED,RegressionTest2.test00516(RegressionTest2)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,compareTo,341,KILLED,RegressionTest35.test07178(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,compareTo,331,KILLED,RegressionTest18.test03706(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,compareTo,331,KILLED,RegressionTest18.test03706(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.experimental.NakedReceiverMutator,compareTo,331,KILLED,RegressionTest18.test03706(RegressionTest18)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ArgumentPropagationMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.BooleanFalseReturnValsMutator,equals,300,NO_COVERAGE,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,equals,303,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.BooleanTrueReturnValsMutator,equals,306,KILLED,RegressionTest29.test05971(RegressionTest29)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,300,NO_COVERAGE,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,303,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,306,KILLED,RegressionTest35.test07119(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,equals,306,KILLED,RegressionTest29.test05971(RegressionTest29)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,299,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,302,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,equals,306,KILLED,RegressionTest35.test07119(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,302,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,299,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,302,KILLED,RegressionTest16.test03240(RegressionTest16)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,306,SURVIVED,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,equals,306,KILLED,RegressionTest35.test07119(RegressionTest35)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,300,NO_COVERAGE,none
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,303,KILLED,RegressionTest0.test00194(RegressionTest0)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,equals,306,KILLED,RegressionTest29.test05971(RegressionTest29)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.InlineConstantMutator,get,250,KILLED,RegressionTest10.test02156(RegressionTest10)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NegateConditionalsMutator,get,247,KILLED,RegressionTest10.test02156(RegressionTest10)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,get,247,KILLED,RegressionTest23.test04714(RegressionTest23)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.NonVoidMethodCallMutator,get,248,KILLED,RegressionTest32.test06523(RegressionTest32)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.PrimitiveReturnsMutator,get,248,KILLED,RegressionTest32.test06523(RegressionTest32)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_ELSE,get,247,KILLED,RegressionTest23.test04714(RegressionTest23)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.RemoveConditionalMutator_EQUAL_IF,get,247,KILLED,RegressionTest10.test02156(RegressionTest10)
BaseSingleFieldPeriod.java,org.joda.time.base.BaseSingleFieldPeriod,org.pitest.mutationtest.engine.gregor.mutators.ReturnValsMutator,get,248,KILLED,RegressionTest32.test06523(RegressionTest32)
